MatchDatetime,season,HomeTeam,AwayTeam,FTR,Home_attack,Home_defence,Away_attack,Away_defence,Home_PPG,Away_PPG,Home_GDpg,Away_GDpg,Home_form_PPG,Away_form_PPG,Attack_diff,Defence_diff,PPG_diff,GDpg_diff,Form_PPG_diff,Interaction_home,Interaction_away,Strength_diff_abs,factual_text,opinion_text,home_n_injured,home_n_doubtful,home_n_suspended,home_n_unavailable,home_form_points,home_top_scorer_goals,home_top_scorer_missing,away_n_injured,away_n_doubtful,away_n_suspended,away_n_unavailable,away_form_points,away_top_scorer_goals,away_top_scorer_missing,diff_injured,diff_doubtful,diff_suspended,diff_unavailable,diff_form_points,diff_top_scorer_goals,diff_top_scorer_missing
2022-08-06 12:30:00,2022_2023,Fulham,Liverpool,D,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fulham: Injured Bryan, Wilson. Doubtful Chalobah. Suspended none. Leading scorer Mitrovic 43 goals (last season). Liverpool: Injured Jota, Tsimikas, Kelleher, Jones, Konaté, Oxlade-Chamberlain. Doubtful Keïta. Suspended none. Leading scorer Salah 23 goals (last season).","Darwin Núñez does not look as if he needs to be eased in. The Uruguay forward started on the bench when Liverpool beat City in the Community Shield last weekend, but he appeared to be on the same wavelength as his new teammates after coming on in the second half. The runs were intelligent and effective, the link play was smart and there were signs of an understanding with Mohamed Salah, who was involved when Núñez scored his first Liverpool goal with a brave header. The question is whether Klopp decides to play the former Benfica striker when Liverpool visit Fulham on Saturday. Is there anything to gain from holding the 23-year-old back and playing Roberto Firmino through the middle instead? Firmino is an excellent, subtle player, but Fulham’s defenders must be dreading the thought of trying to keep Núñez quiet.",2,1,0,0,0,43,0,6,1,0,0,0,23,0,-4,0,0,0,0,20,0
2022-08-06 15:00:00,2022_2023,Bournemouth,Aston Villa,H,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bournemouth: Injured Fredericks, Rothwell, Brooks. Doubtful none. Suspended none. Leading scorer Solanke 29 goals (last season). Aston Villa: Injured Hause. Doubtful Buendía, Davis. Suspended none. Leading scorer Watkins 11 goals (last season).","Great expectations. This phrase probably doesn’t embody the outlook of Bournemouth fans before their Premier League return. With Scott Parker’s men making hard work of automatic promotion last season, and a concerning lack of summer spending so far, the club look set for a trying campaign. After hosting Aston Villa, Bournemouth next travel to Manchester City before facing Arsenal at home and Liverpool at Anfield. A point at the Vitality Stadium on Saturday may be necessary to avoid the ominous prospect of losing their first four league games and seeing their survival hopes potentially begin to wash away along the south coast by the end of August. Villa fans will be expecting greater things than last season’s 14th place, and if Steven Gerrard’s players are intent on making large strides up the table, picking up three points in games like this should be a must in their hunt for a first top-half finish since promotion in 2019.",3,0,0,0,0,29,0,1,2,0,0,0,11,0,2,-2,0,0,0,18,0
2022-08-06 15:00:00,2022_2023,Leeds,Wolves,H,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Leeds: Injured Cooper, Sinisterra, Forshaw, Dallas, Ayling, Firpo. Doubtful Drameh. Suspended James. Leading scorer Raphinha 11 goals (last season). Wolves: Injured Semedo, Jiménez, Chiquinho. Doubtful Traoré. Suspended none. Leading scorer Jiménez 6 goals (last season).","The injuries which restricted Patrick Bamford to a mere nine appearance for Leeds last season played a big part in not only the team’s dalliance with relegation but Marcelo Bielsa’s replacement by Jesse Marsch. The good news for the latter is that Leeds key striker, and 2020-21 leading scorer, is nearing 100% fitness and looks set to start against Wolves at Elland Road on Saturday. If Marsch can keep Bamford fit he has a good chance of buying the time needed to bed his exciting new signings, perhaps most notably the attacking midfielder Brenden Aaronson and the winger Luis Sinisterra, into the first XI and help Leeds fans forget about the summer departures of Kalvin Phillips and Raphinha. The American’s chances of making this season a success will be enhanced appreciably if he can keep Bamford fit.",6,1,1,0,0,11,0,3,1,0,0,0,6,1,3,0,1,0,0,5,-1
2022-08-06 15:00:00,2022_2023,Newcastle,Nott'm Forest,H,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Newcastle: Injured Shelvey, Fernández, Lewis, Manquillo. Doubtful none. Suspended none. Leading scorer Wilson 8 goals (last season). Nottingham Forest: Injured Richards. Doubtful none. Suspended none. Leading scorer Johnson 16 goals (last season).","Nick Pope or Martin Dubravka? That is the dilemma facing Eddie Howe as his Newcastle team prepares to face Nottingham Forest at St James’ Park on Saturday. Pope did not join from Burnley for £10m earlier this summer to merely sit on the bench. Instead the 30-year-old has made it crystal clear he intends to be playing the first-team football that will all but guarantee him a place on England’s World Cup bound flight to Doha in November. Accordingly the consensus is that Howe will start Pope ahead of Dubravka on Saturday. That, in turn, is set to upset the Slovakia goalkeeper and his agent, who has reiterated that his client is too good to be anyone’s understudy. Something has to give; might a Newcastle-Leicester part exchange deal involving Dubravka and James Maddison be the answer?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-06 15:00:00,2022_2023,Tottenham,Southampton,H,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Tottenham: Injured Skipp. Doubtful Perisic, Bissouma. Suspended Richarlison. Leading scorer Son 23 goals (last season). Southampton: Injured Tella, Livramento, Walcott. Doubtful none. Suspended none. Leading scorer Ward-Prowse 10 goals (last season).","If pre-season is a time for optimism, it has been particularly pronounced at Tottenham. First Antonio Conte committed to the project, then the club made quick and targeted signings. Yet there is one player who holds the key to glory and, happily for all concerned, Harry Kane looks relaxed and ready. This time last year, the striker wanted out. When he was denied his wish, he laboured, scoring only one league goal before the middle of December. He rediscovered his groove under Conte, who joined at the start of November, to finish with 17 in the competition and he carries momentum into the opening game against Southampton, having had a proper pre-season this time. Conte’s system is based on getting the best out of his front men, and Kane intends to embrace the expectations. ",1,2,1,0,0,23,0,3,0,0,0,0,10,0,-2,2,1,0,0,13,0
2022-08-06 17:30:00,2022_2023,Everton,Chelsea,A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Everton: Injured Davies, Gomes, Calvert-Lewin, Townsend. Doubtful Begovic, Coleman. Suspended Rondón. Leading scorer Richarlison 10 goals (last season). Chelsea: Injured none. Doubtful Werner. Suspended none. Leading scorer Mount 11 goals (last season).","It was against Frank Lampard’s old club last season that Everton found the spirit, style and backing that ultimately kept them in the Premier League, but that was courtesy of a winner from Richarlison – with both Dominic Calvert-Lewin and Salomón Rondón on the bench as back-up. The goalscorer is gone, the England international is out injured for the next six weeks and Rondón is suspended. Another attritional approach is likely, with no recognised forward available for the first game of a new campaign. And to think it is Thomas Tuchel who has bemoaned his club’s summer transfer business so far. Chelsea at least have some new faces to reflect an ambitious new era under Todd Boehly in Raheem Sterling, Kalidou Koulibaly and Carney Chukwuemeka, along with the promise of more to come. They have lost on their last four league visits to Goodison Park, however, and Tuchel’s appeals for reinforcement will only intensify with a fifth. ",4,2,1,0,0,10,0,0,1,0,0,0,11,0,4,1,1,0,0,-1,0
2022-08-07 14:00:00,2022_2023,Leicester,Brentford,D,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Leicester: Injured Bertrand, Pereira, Barnes. Doubtful Fofana, Pérez, Choudhury. Suspended none. Leading scorer Vardy 15 goals (last season). Brentford: Injured Ajer, Pinnock. Doubtful none. Suspended Canós. Leading scorer Toney 12 goals (last season).","This has been a difficult summer for Leicester. Kasper Schmeichel has left, the futures of Wesley Fofana and James Maddison are up in the air, and the Foxes are the only Premier League club yet to sign a player. A club close to qualifying for the Champions League in 2020 and 2021 found last season did not go entirely to plan, with Brendan Rodgers’ side finishing eighth, six points off a Europa League place. There is a different mood among the Leicester fanbase compared with the start of other recent seasons. They welcome a Brentford team they beat twice lastlast season, albeit fortuitously. The visitors have had a busy transfer window marked by the departure of their midfield maverick, Christian Eriksen. Given the uncertainty in LE2, Thomas Frank’s side may not get a better chance to sting their hosts. ",3,3,0,0,0,15,0,2,0,1,0,0,12,0,1,3,-1,0,0,3,0
2022-08-07 14:00:00,2022_2023,Man United,Brighton,A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Manchester United: Injured Martial. Doubtful none. Suspended none. Leading scorer Ronaldo 18 goals (last season). Brighton: Injured Moder. Doubtful none. Suspended none. Leading scorers Maupay, Trossard 8 goals (last season).","Erik ten Hag’s first Manchester United XI for a Premier League game is not expected to include Cristiano Ronaldo due to the wantaway striker’s lack of match-fitness. The manager branded the 37-year-old’s early departure from Sunday’s friendly with Rayo Vallecano as “unacceptable” and anyone watching Brighton’s visit will turn into body-language experts, parsing any interaction for a hint of discord. The Portuguese’s decision to go awol was surely premeditated as a latest ploy in the push to leave a club there is supposedly adoration for. As the new manager tries to somehow rebuild a shattered side, how Ten Hag deals with Ronaldo and an unwanted sideshow may define his tenure.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-07 16:30:00,2022_2023,West Ham,Man City,A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham: Injured Aguerd. Doubtful none. Suspended none. Leading scorer Bowen 12 goals (last season). Manchester City: Injured Laporte. Doubtful none. Suspended none. Leading scorer De Bruyne 15 goals (last season).,"The champions do not have an easy start to their title defence. West Ham are unbeaten in their past three home games against Manchester City and play in a way that unsettles Pep Guardiola’s side. A lot of it is centred around the incisiveness of Jarrod Bowen and Michail Antonio on the counter, and while West Ham looked short of creativity during pre-season that is likely to be less of a problem against City. After all, David Moyes will not be making plans for his team to dominate possession. It will be all about West Ham maintaining a low block, keeping a close watch on Erling Haaland and looking for ways to release Bowen, whose diagonal runs from right to left saw him score twice when Moyes’s side held City to a pulsating 2-2 draw in this fixture last season. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-13 12:30:00,2022_2023,Aston Villa,Everton,H,0.0,2.0,0.0,1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,"Aston Villa: Injured Hause. Doubtful none. Suspended none. Form L. Leading scorer n/a. Everton: Injured Gomes, Mina, Calvert-Lewin, Godfrey, Townsend. Doubtful Begovic, Coleman, Davies. Suspended none. Form L. Leading scorer n/a.","Following Aston Villa’s defeat at Bournemouth, Steven Gerrard understandably bristled slightly when asked whether he knew Philippe Coutinho’s best position. Gerrard, of course, played alongside Coutinho for almost four years at Liverpool, before the midfielder departed for Barcelona in a £142m deal, and has managed him since January. Coutinho lit up some games last season – hence Villa’s desire to sign him permanently in the summer – but, predominantly stationed out on the left flank, he drifted anonymously through their first match of the season. The Brazilian was not alone in being off-colour, Villa insipid at best as they struggled to penetrate a makeshift defence, though he was comfortably shackled by Ben Pearson, whose last league start came at Barnsley in January. There is a sentence you never thought you would see. ",1,0,0,0,0,0,0,5,3,0,0,0,0,0,-4,-3,0,0,0,0,0
